Croque-monsieur,Croque-monsieur
Cuban,Cuban
Donkey burger,Donkey burger
Fish finger,Fish finger
French dip,French dip
Fried brain,Fried brain
Grilled Cheese,Grilled Cheese
Hot brown,Hot brown
Italian beef,Italian beef
Leberkäse,Leberkäse
Kottenbutter,Kottenbutter
Lobster roll,Lobster roll
Luther burger,Luther burger
Mortadella,Mortadella
Panini,Panini
Pepito,Pepito
Sealed crustless,Sealed crustless
Steak burger,Steak burger
Steak bomb,Steak bomb
Pajeon,Pajeon
Scallion pancakes,Scallion pancakes
Hwajeon,Hwajeon
Meat jun,Meat jun
Memiljeon,Memiljeon
Gamjajeon,Gamjajeon
Acquacotta,Acquacotta
Goulash,Goulash
Oyster stew,Oyster stew
Pörkölt,Pörkölt
Ratatouille,Ratatouille
Saksang,Saksang
Croque Madame,Croque Madame
Eyerlekh,Eyerlekh
Gyeranppang,Gyeranppang
Egg tart,Egg tart
Tunisian tajine,Tunisian tajine
Bavarian cream,Bavarian cream
Bean pie,Bean pie
Buttermilk pie,Buttermilk pie
Custard tart,Custard tart
Flaugnarde,Flaugnarde
Leche flan,Leche flan
Miguelitos,Miguelitos
Pasticciotto,Pasticciotto
Pumpkin pie,Pumpkin pie
Baked ziti,Baked ziti
Confit byaldi,Confit byaldi
Chili mac,Chili mac
Gratin,Gratin
Janssons frestelse,Janssons frestelse
Macaroni and cheese,Macaroni and cheese
Macaroni pie,Macaroni pie
Moussaka,Moussaka
Nut roast,Nut roast
Potato babka,Potato babka
Rakott krumpli,Rakott krumpli
Tofurkey,Tofurkey
Funeral potatoes,Funeral potatoes
Gratin dauphinois,Gratin dauphinois
Bean salad,Bean salad
Caesar salad,Caesar salad
Chicken salad,Chicken salad
Cobb salad,Cobb salad
Coleslaw,Coleslaw
Cookie salad,Cookie salad
Egg salad,Egg salad
Fruit salad,Fruit salad
Garden salad,Garden salad
Greek salad,Greek salad
Ham salad,Ham salad
Poke salad,Poke salad
Salat avocado,Salat avocado
Taco salad,Taco salad
California roll,California roll
Cinnamon roll,Cinnamon roll
Fig Roll,Fig Roll
Sausage roll,Sausage roll
Bacon and egg pie,Bacon and egg pie
Bacon explosion,Bacon explosion
Clams casino,Clams casino
Club sandwich,Club sandwich
Beef Wellington,Beef Wellington
Bitterballen,Bitterballen
Beefsteak,스테이크
Cheeseburger,Cheeseburger
Galbi,Galbi
Meatball,Meatball
Bakkwa,Bakkwa
Crispy pata,Crispy pata
Eisbein,Eisbein
Goetta,Goetta
Jambonneau,Jambonneau
King Rib,King Rib
Kway Chap,Kway Chap
Lechon kawali,Lechon kawali
Machaca,Machaca
Okinawa soba,Okinawa soba
Schweinshaxe,Schweinshaxe
Bamboo chicken,Bamboo chicken
Barbecue chicken,Barbecue chicken
Bean sprouts chicken,Bean sprouts chicken
Beer can chicken,Beer can chicken
Bon bon chicken,Bon bon chicken
Buldak,Buldak
Butter chicken,Butter chicken
Chicken curry,Chicken curry
Chicken French,Chicken French
Chicken fries,Chicken fries
Chicken soup,Chicken soup
Chigirtma,Chigirtma
Chilli chicken,Chilli chicken
Cola chicken,Cola chicken
Dakjuk,닭죽
Dakkochi,닭꼬치
Crispy fried chicken,후라이드 치킨
Flying Jacob,Flying Jacob
Soy sauce chicken,Soy sauce chicken
Tandoori chicken,Tandoori chicken
Torikatsu,Torikatsu
Yassa,Yassa
Cahuamanta,Cahuamanta
Dancing shrimp	,Dancing shrimp	
Drunken shrimp,Drunken shrimp
Dynamite roll,Dynamite roll
Ebi furai,Ebi furai
Ebinigirizushi,Ebinigirizushi
Ebitempura,Ebitempura
Seafood gumbo,Seafood gumbo
Popcorn shrimp,Popcorn shrimp
Shrimp Creole,Shrimp Creole
Shrimp curry,Shrimp curry
Shrimp toast,Shrimp toast
Shrimp paste,Shrimp paste
Tenmusu,Tenmusu
White boiled shrimp,White boiled shrimp
Hoedeopbap,Hoedeopbap
Maeuntang,Maeuntang
Seafood basket,Seafood basket
Seafood cocktail,Seafood cocktail
Seafood pizza,Seafood pizza
Sundubu jjigae,Sundubu jjigae
Surf and turf,Surf and turf
Clams casino,Clams casino
Fried clams,Fried clams
Steamed clams,Steamed clams
Lobster Newberg,Lobster Newberg
Lobster roll,Lobster roll
Lobster stew,Lobster stew
Black pepper crab,Black pepper crab
Nakji-bokkeum,Nakji-bokkeum
Nakji-yeonpo-tang,Nakji-yeonpo-tang
Fish tacos,Fish tacos
Salmon burger,Salmon burger
Tuna fish sandwich,Tuna fish sandwich
Tuna salad,Tuna salad
Tekkadon,Tekkadon
Bossam,보쌈
Gopchang,곱창
Jjamppong,짬뽕
Gimbap,김밥
Tangsuyuk,탕수육
Malatang,마라탕
Lamb and mutton,양고기
Hot pot,훠궈
Taco,타코
Rice noodle,쌀국수
Spaghetti and meatballs,토마토스파게티
Gukbap,국밥
Focaccia,포테이토 피자
jeyuk-bokkeum,제육볶음
Apple pie,애플파이
Cheesecake,치즈케익
